iter	Logloss
0	0.6575326982
1	0.6241977352
2	0.5917787189
3	0.5637972899
4	0.53753618
5	0.5114947491
6	0.4875645925
7	0.4652083828
8	0.446481436
9	0.4282131363
10	0.4117076203
11	0.3959949761
12	0.382483206
13	0.3689761733
14	0.3575887703
15	0.3467108973
16	0.3362875868
17	0.3266334646
18	0.3173223777
19	0.3090313043
20	0.300833286
21	0.2935159225
22	0.2870784868
23	0.2801866093
24	0.2732527506
25	0.2691298123
26	0.2628650872
27	0.2570611835
28	0.2508856126
29	0.2459369102
30	0.2414511834
31	0.2368533574
32	0.2322294493
33	0.2280479069
34	0.2240167947
35	0.2203104631
36	0.2167716842
37	0.2137321226
38	0.2108611135
39	0.2083907133
40	0.2058357382
41	0.2033870264
42	0.2010523953
43	0.1988399926
44	0.196693358
45	0.1951232074
46	0.1935352544
47	0.1919161773
48	0.1903464765
49	0.1891182563
50	0.1878903201
51	0.1865456956
52	0.1852227187
53	0.1841194127
54	0.1831423376
55	0.1820270797
56	0.181133397
57	0.1802817812
58	0.1793805792
59	0.1786016902
60	0.1778189169
61	0.1770449602
62	0.176253285
63	0.1755502606
64	0.1749437763
65	0.1743315977
66	0.1735362381
67	0.1727551742
68	0.1721772745
69	0.1714930967
70	0.170985282
71	0.1705017911
72	0.1699526184
73	0.169382918
74	0.1688886888
75	0.1684139482
76	0.1679645849
77	0.1675660086
78	0.1669728886
79	0.1663543026
80	0.1658009689
81	0.1652742299
82	0.1647844883
83	0.1642815614
84	0.1638779505
85	0.1634103837
86	0.1630323951
87	0.1626440804
88	0.1622238942
89	0.1618786964
90	0.1614730796
91	0.1612091851
92	0.1609209157
93	0.1606501303
94	0.160321776
95	0.1599808525
96	0.1596768171
97	0.1593727641
98	0.1591077969
99	0.1588826156
100	0.1586185305
101	0.158412442
102	0.1581557357
103	0.1579377255
104	0.1577267994
105	0.1575340438
106	0.1573753885
107	0.1572088521
108	0.1570845007
109	0.1569718897
110	0.1567840294
111	0.1566197046
112	0.1565562134
113	0.1564063666
114	0.1562681537
115	0.156202361
116	0.156076635
117	0.1559347857
118	0.1558195018
119	0.155667089
120	0.1555615611
121	0.1553753431
122	0.1553101082
123	0.1552297309
124	0.1550710003
125	0.154942133
126	0.154865739
127	0.1547454992
128	0.1546807097
129	0.1545868875
130	0.1545200384
131	0.1544377886
132	0.1543771171
133	0.1542777826
134	0.1541937435
135	0.1541397451
136	0.1540454593
137	0.1539548522
138	0.1539050296
139	0.1538210788
140	0.1537699293
141	0.153711596
142	0.1535200859
143	0.1533441003
144	0.1531413966
145	0.1529781649
146	0.1528011708
147	0.1526455955
148	0.1525021823
149	0.1524080932
150	0.152349711
151	0.1522446498
152	0.1521413464
153	0.1520562224
154	0.1519996056
155	0.1519180343
156	0.1517669248
157	0.1516436049
158	0.1515369876
159	0.151502266
160	0.1514134939
161	0.1513750675
162	0.1513298329
163	0.1512172498
164	0.1511436258
165	0.151113427
166	0.1510701053
167	0.1509700626
168	0.1508750385
169	0.1507866824
170	0.1507491895
171	0.1506774639
172	0.1505773798
173	0.1505478228
174	0.1504637421
175	0.1504280604
176	0.1503955738
177	0.1502934397
178	0.1502347494
179	0.1502042822
180	0.1501293018
181	0.1500708673
182	0.1499916117
183	0.1499532587
184	0.1499463979
185	0.1499320342
186	0.1498653495
187	0.149834766
188	0.1497876574
189	0.1497287559
190	0.1496754538
191	0.1495817465
192	0.1495195644
193	0.1494596043
194	0.149429315
195	0.1493977312
196	0.1493853661
197	0.1493336095
198	0.1493041029
199	0.1492303355
200	0.1491820608
201	0.1491358211
202	0.1490810383
203	0.1490620543
204	0.1489879664
205	0.1489212406
206	0.148892167
207	0.1488480541
208	0.14880792
209	0.148714412
210	0.1486654989
211	0.1486063434
212	0.1485742846
213	0.1485528593
214	0.1485470916
215	0.1485016686
216	0.1484540009
217	0.1484234886
218	0.1483807593
219	0.1482543474
220	0.1482275109
221	0.1481478759
222	0.1480796318
223	0.1480716155
224	0.1480326485
225	0.1479766978
226	0.1479025126
227	0.147889088
228	0.1478687604
229	0.1478499634
230	0.1478165727
231	0.1477990502
232	0.1477465674
233	0.1476913266
234	0.1476685297
235	0.1476428363
236	0.1476221856
237	0.1476079159
238	0.1475637809
239	0.1475191874
240	0.1474800475
241	0.1474620783
242	0.147446533
243	0.1474357099
244	0.1474213787
245	0.1474077791
246	0.1473728286
247	0.1473156967
248	0.1472739493
249	0.1472176093
250	0.1471897389
251	0.1471647739
252	0.1471465203
253	0.147121155
254	0.1470935248
255	0.147053748
256	0.1470420587
257	0.1470071102
258	0.1469846009
259	0.1469700127
260	0.1469321894
261	0.1468914297
262	0.146871902
263	0.1468405638
264	0.1468157837
265	0.1467857656
266	0.1467619037
267	0.1467255809
268	0.1466741165
269	0.1466492636
270	0.1466122247
271	0.1465896752
272	0.1464606404
273	0.1464366257
274	0.1463958169
275	0.1463673665
276	0.146336492
277	0.1463022848
278	0.14623691
279	0.1462043016
280	0.1461796553
281	0.1461596485
282	0.1461316318
283	0.1461001341
284	0.1460880318
285	0.1460522627
286	0.1460399387
287	0.1460127162
288	0.1459997053
289	0.1459742158
290	0.1459345526
291	0.1459113366
292	0.1458799544
293	0.1458328634
294	0.1457884041
295	0.1457694517
296	0.1457503799
297	0.1457290533
298	0.1457124942
299	0.1456667227
300	0.1456642422
301	0.1456116279
302	0.1455660663
