iter	Passed	Remaining
0	17	17427
1	36	18090
2	72	24029
3	79	19917
4	90	18044
5	114	18901
6	137	19506
7	150	18707
8	176	19459
9	205	20362
10	235	21188
11	246	20324
12	276	20963
13	293	20670
14	300	19732
15	309	19023
16	323	18729
17	348	19010
18	363	18792
19	384	18840
20	417	19442
21	436	19410
22	445	18935
23	458	18645
24	498	19423
25	504	18895
26	524	18893
27	551	19161
28	576	19295
29	602	19496
30	635	19854
31	658	19910
32	679	19925
33	721	20512
34	746	20595
35	772	20698
36	808	21045
37	842	21331
38	877	21618
39	944	22663
40	1019	23857
41	1042	23785
42	1056	23513
43	1085	23585
44	1167	24787
45	1188	24654
46	1209	24530
47	1258	24956
48	1296	25156
49	1312	24940
50	1334	24827
51	1346	24546
52	1377	24609
53	1408	24676
54	1427	24527
55	1466	24724
56	1492	24692
57	1539	25009
58	1636	26097
59	1709	26775
60	1737	26740
61	1763	26673
62	1781	26495
63	1809	26459
64	1840	26468
65	1859	26319
66	1883	26222
67	1916	26264
68	1938	26160
69	1962	26076
70	2005	26235
71	2024	26091
72	2072	26319
73	2088	26132
74	2123	26191
75	2142	26048
76	2156	25845
77	2193	25925
78	2224	25936
79	2266	26067
80	2304	26142
81	2328	26072
82	2371	26199
83	2394	26114
84	2436	26229
85	2467	26221
86	2507	26319
87	2531	26239
88	2576	26375
89	2601	26305
90	2624	26219
91	2666	26318
92	2686	26205
93	2725	26272
94	2745	26150
95	2784	26225
96	2804	26111
97	2839	26131
98	2865	26076
99	2894	26046
100	2926	26052
101	2972	26168
102	3005	26172
103	3025	26068
104	3064	26124
105	3092	26084
106	3126	26097
107	3155	26063
108	3178	25977
109	3200	25892
110	3239	25947
111	3262	25865
112	3293	25852
113	3315	25764
114	3333	25656
115	3355	25571
116	3382	25524
117	3427	25620
118	3445	25507
119	3469	25443
120	3526	25616
121	3548	25539
122	3575	25493
123	3619	25571
124	3641	25490
125	3679	25522
126	3708	25493
127	3748	25534
128	3784	25551
129	3800	25435
130	3827	25391
131	3853	25339
132	3883	25313
133	3936	25442
134	3960	25374
135	4004	25439
136	4032	25401
137	4055	25329
138	4093	25356
139	4125	25344
140	4160	25346
141	4191	25325
142	4247	25455
143	4283	25460
144	4325	25508
145	4365	25532
146	4399	25527
147	4433	25521
148	4469	25524
149	4522	25626
150	4590	25808
151	4634	25853
152	4664	25824
153	4700	25820
154	4729	25785
155	4761	25762
156	4800	25773
157	4850	25847
158	4882	25823
159	4901	25733
160	4950	25799
161	4992	25824
162	5029	25826
163	5054	25766
164	5082	25722
165	5124	25744
166	5159	25735
167	5198	25746
168	5241	25771
169	5272	25743
170	5312	25753
171	5349	25752
172	5388	25758
173	5422	25740
174	5468	25781
175	5496	25735
176	5537	25747
177	5570	25723
178	5591	25646
179	5628	25640
180	5655	25590
181	5696	25602
182	5730	25583
183	5749	25497
184	5789	25503
185	5819	25468
186	5861	25483
187	5891	25445
188	5926	25429
189	5971	25457
190	5994	25388
191	6032	25386
192	6066	25365
193	6094	25318
194	6136	25334
195	6176	25335
196	6210	25313
197	6241	25281
198	6267	25226
199	6320	25282
200	6356	25267
201	6394	25260
202	6451	25331
203	6482	25295
204	6535	25346
205	6596	25426
206	6648	25470
207	6683	25449
208	6715	25417
209	6745	25375
210	6778	25348
211	6810	25314
212	6866	25368
213	6889	25306
214	6931	25307
215	6961	25266
216	6998	25253
217	7026	25206
218	7070	25216
219	7108	25204
220	7142	25175
221	7197	25224
222	7245	25245
223	7269	25185
224	7305	25164
225	7344	25151
226	7358	25058
227	7393	25034
228	7429	25015
229	7484	25055
230	7526	25057
231	7559	25025
232	7603	25029
233	7638	25004
234	7670	24969
235	7717	24983
236	7752	24959
237	7782	24918
238	7830	24932
239	7861	24895
240	7898	24875
241	7928	24833
242	7967	24821
243	8008	24814
244	8036	24766
245	8087	24788
246	8116	24743
247	8153	24723
248	8183	24681
249	8222	24668
250	8266	24666
251	8290	24606
252	8325	24580
253	8358	24549
254	8407	24563
255	8454	24570
256	8475	24501
257	8507	24467
258	8544	24447
259	8573	24400
260	8607	24371
261	8643	24346
262	8678	24319
263	8719	24307
264	8753	24278
265	8787	24247
266	8816	24205
267	8872	24233
268	8919	24238
269	8958	24220
270	8993	24192
271	9020	24144
272	9064	24139
273	9098	24106
274	9135	24085
275	9170	24056
276	9202	24018
277	9246	24013
278	9280	23983
279	9315	23954
280	9349	23922
281	9395	23922
282	9445	23931
283	9479	23898
284	9556	23974
285	9601	23970
286	9644	23958
287	9686	23947
288	9719	23912
289	9751	23873
290	9784	23839
291	9837	23853
292	9857	23785
293	9910	23798
294	9956	23794
295	10008	23802
296	10045	23777
297	10077	23739
298	10109	23701
299	10156	23698
300	10188	23660
301	10217	23616
302	10253	23586
303	10287	23553
304	10323	23524
305	10353	23482
306	10388	23449
307	10433	23441
308	10479	23434
309	10514	23403
310	10552	23377
311	10588	23348
312	10623	23317
313	10655	23278
314	10689	23244
315	10724	23214
316	10768	23200
317	10811	23186
318	10839	23140
319	10875	23110
320	10908	23074
321	10947	23050
322	10975	23005
323	11020	22993
324	11058	22967
325	11095	22940
326	11134	22916
327	11178	22901
328	11217	22877
329	11249	22840
330	11267	22772
331	11300	22737
332	11325	22684
333	11365	22663
334	11400	22630
335	11456	22640
336	11506	22636
337	11533	22588
338	11565	22550
339	11607	22532
340	11640	22495
341	11682	22476
342	11712	22434
343	11751	22410
344	11780	22366
345	11839	22379
346	11887	22370
347	11915	22324
348	11948	22287
349	11982	22253
350	12018	22222
351	12063	22207
352	12089	22158
353	12115	22109
354	12150	22076
355	12186	22045
356	12219	22008
357	12253	21974
358	12295	21954
359	12337	21932
360	12373	21901
361	12422	21894
362	12468	21880
363	12506	21852
364	12548	21831
365	12596	21820
366	12638	21798
367	12664	21750
368	12707	21730
369	12731	21678
370	12780	21667
371	12828	21657
372	12860	21617
373	12902	21595
374	12932	21553
375	12979	21540
376	13019	21514
377	13062	21494
378	13094	21456
379	13128	21420
380	13170	21397
381	13193	21345
382	13231	21314
383	13268	21285
384	13311	21263
385	13343	21225
386	13377	21189
387	13403	21141
388	13452	21130
389	13500	21115
390	13541	21091
391	13591	21079
392	13683	21134
393	13779	21193
394	13827	21178
395	13862	21143
396	13877	21077
397	13910	21040
398	13943	21001
399	13978	20968
400	14009	20927
401	14061	20916
402	14095	20881
403	14138	20858
404	14169	20817
405	14205	20783
406	14250	20763
407	14294	20740
408	14342	20725
409	14372	20682
410	14410	20651
411	14445	20617
412	14486	20589
413	14532	20570
414	14567	20534
415	14599	20495
416	14624	20445
417	14667	20422
418	14689	20368
419	14733	20346
420	14767	20309
421	14810	20285
422	14852	20259
423	14881	20216
424	14921	20188
425	14959	20156
426	15048	20193
427	15112	20196
428	15211	20246
429	15235	20196
430	15307	20208
431	15360	20196
432	15456	20239
433	15562	20296
434	15611	20276
435	15670	20270
436	15713	20244
437	15749	20208
438	15783	20170
439	15810	20122
440	15840	20078
441	15892	20063
442	15932	20031
443	15971	20000
444	16009	19966
445	16042	19926
446	16089	19905
447	16123	19866
448	16145	19812
449	16179	19774
450	16221	19746
451	16267	19722
452	16314	19700
453	16338	19649
454	16387	19629
455	16420	19589
456	16472	19572
457	16511	19539
458	16554	19512
459	16599	19486
460	16629	19443
461	16652	19392
462	16689	19356
463	16725	19320
464	16759	19282
465	16798	19250
466	16836	19215
467	16869	19176
468	16886	19118
469	16914	19073
470	16952	19039
471	16982	18997
472	17015	18958
473	17045	18915
474	17074	18871
475	17108	18834
476	17140	18793
477	17182	18764
478	17215	18725
479	17257	18695
480	17295	18661
481	17337	18632
482	17370	18593
483	17403	18553
484	17451	18531
485	17500	18508
486	17535	18471
487	17570	18434
488	17605	18397
489	17639	18359
490	17674	18322
491	17705	18281
492	17744	18248
493	17772	18204
494	17820	18180
495	17856	18144
496	17872	18087
497	17916	18060
498	17954	18026
499	17993	17993
500	18037	17965
501	18065	17921
502	18113	17897
503	18142	17854
504	18191	17831
505	18225	17792
506	18267	17762
507	18300	17723
508	18333	17684
509	18369	17649
510	18405	17613
511	18446	17581
512	18482	17545
513	18516	17507
514	18564	17482
515	18613	17458
516	18653	17426
517	18685	17386
518	18734	17362
519	18765	17321
520	18797	17282
521	18831	17243
522	18869	17210
523	18901	17170
524	18939	17135
525	18987	17110
526	19015	17066
527	19053	17032
528	19091	16997
529	19153	16985
530	19186	16945
